geneId	total	isoform_def	isoform_undef
Hist1h4b	1	1	0
Enox1	20	3	17
Enox2	8	2	6
App	138	78	60
Abcb10	6	0	6
Mki67	66	0	66
Serbp1	817	657	160
Aqp9	1	0	1
Surf6	27	12	15
Rrh	4	4	0
Aqp5	1	1	0
Aqp4	1	0	1
Fnip1	12	1	11
Fnip2	5	0	5
Gba2	28	11	17
Sh3glb1	157	69	88
Sh3glb2	61	32	29
Nfu1	104	96	8
Cldnd1	133	97	36
Fbxl12os	5	4	1
Mvb12a	50	37	13
Gsap	5	1	4
Heca	2	0	2
Cxxc1	38	7	31
Mvb12b	76	62	14
Bcor	8	1	7
Cxxc4	20	18	2
Scamp3	56	50	6
Cxxc5	73	5	68
Scamp2	44	27	17
Scamp1	54	15	39
Mtpn	272	37	235
Scamp5	20	2	18
Aqr	21	0	21
Vps37a	32	14	18
Grpel2	68	57	11
Vps37b	128	102	26
Grpel1	132	125	7
Vps37d	39	25	14
Sympk	38	7	31
Ahdc1	31	1	30
Wrap73	58	43	15
CR974586.2	1	1	0
Dmrta2os	6	4	2
Cnot6l	16	2	14
Tram1l1	37	36	1
Arc	3	3	0
Svbp	310	286	24
Cep85l	5	0	5
Tfip11	13	4	9
Btrc	28	10	18
Slc45a4	5	0	5
Hnrnpr	301	137	164
Pcdhb16	2	2	0
Pcdhb17	6	6	0
Pcdhb18	2	2	0
Arx	208	164	44
Hnrnpu	31	0	31
Pcdhb19	1	1	0
Slc45a1	5	1	4
Gbas	40	27	13
Saxo2	4	2	2
Rnase4	1	0	1
Pcdhb13	1	1	0
Gse1	61	2	59
Pcdhb14	3	3	0
Pcdhb15	3	3	0
Asl	16	12	4
Rbak	12	8	4
Pcdhb10	2	2	0
Acer2	6	5	1
Wrap53	21	13	8
Mtrr	5	2	3
Acer3	1	0	1
Lrrn1	21	10	11
Sox6os	1	0	1
Surf1	65	41	24
Zzz3	43	36	7
Lrrn2	21	6	15
Surf2	72	53	19
Hnrnpc	644	233	411
Lrrn3	13	1	12
Hnrnpd	220	78	142
Surf4	43	16	27
Hnrnpf	382	346	36
Keap1	91	45	46
Cldn34c1	30	20	10
Cldn34c2	1	0	1
Atm	5	0	5
Hnrnpk	1211	8	1203
Pcdhb20	3	3	0
Paics	159	118	41
Hnrnpl	103	64	39
Pcdhb21	8	7	1
Cldn34c3	1	0	1
Atr	27	23	4
Hnrnpm	242	1	241
Pcdhb22	1	1	0
Glt1d1	4	0	4
Aldh3a2	10	5	5
Gbe1	5	3	2
Rsf1	135	36	99
Ramp1	2	2	0
Ptprs	183	103	80
Ptprr	3	1	2
Ptpru	5	0	5
Ptprt	6	0	6
Gsg1	1	1	0
Ptpro	17	1	16
Gsg2	8	8	0
Auh	60	45	15
Ptprn	4	1	3
Ptprk	12	3	9
Rsrc2	302	73	229
Ptprj	4	0	4
Ptprm	1	0	1
Rnasel	26	0	26
Ptprg	13	2	11
Mirt1	2	1	1
Ptprf	55	0	55
Pdrg1	122	109	13
Ptprh	1	0	1
Tyk2	1	0	1
Efcab1	1	1	0
Efcab2	10	8	2
Heg1	19	0	19
Rsrc1	86	41	45
Mttp	14	0	14
Gdpgp1	4	1	3
Acvr1	8	1	7
C8g	1	1	0
Nfx1	34	4	30
Efcab5	1	0	1
Efcab6	2	0	2
Gm26910	2	1	1
Efcab7	4	0	4
Rsl24d1	35	5	30
Svil	1	0	1
Scml2	2	0	2
Nfyb	89	54	35
Scml4	4	2	2
Deptor	2	0	2
Nfya	24	7	17
Znrd1as	10	10	0
Nfyc	71	47	24
Lmcd1	20	17	3
Svip	15	8	7
Sec14l1	52	24	28
Sec14l2	1	0	1
Zmpste24	8	4	4
Rsad1	9	0	9
Uspl1	18	10	8
Qpct	4	4	0
Emc2	65	51	14
Emc1	9	0	9
Emc4	147	131	16
Tmub1	26	20	6
Emc3	88	81	7
Gxylt2	1	0	1
Emc6	237	226	11
Gxylt1	19	0	19
Emc8	26	0	26
Emc7	66	52	14
Tmub2	44	35	9
Emc9	10	8	2
Slc32a1	31	25	6
Mtx1	63	54	9
Mtx2	139	126	13
Ryk	50	6	44
Mtx3	5	0	5
Gbf1	31	2	29
Mad1l1	15	7	8
Ranbp10	9	0	9
Ramp3	3	3	0
Ramp2	9	9	0
Ranbp17	4	0	4
Axl	5	2	3
Prkcdbp	25	25	0
Iglon5	44	4	40
Aarsd1	6	5	1
Pbld2	1	0	1
Mtss1l	27	0	27
Creg1	12	11	1
Rsrp1	441	342	99
Timm17a	117	106	11
Timm17b	149	130	19
Zgpat	2	0	2
Eme2	2	0	2
Eme1	11	1	10
Dusp26	24	23	1
Tyms	104	83	21
Dusp28	16	13	3
Rbfa	60	52	8
Lmtk2	2	0	2
Lmtk3	26	1	25
Smchd1	87	21	66
Dusp22	7	4	3
Dusp23	7	6	1
Helq	13	2	11
RP23-324J22.6	1	1	0
Nr3c1	4	1	3
Helz	41	0	41
Rccd1	19	18	1
Pmf1	63	56	7
Xxylt1	1	1	0
Selo	22	10	12
Emg1	228	191	37
Selm	59	54	5
Selk	606	575	31
Selt	85	12	73
Nkapl	17	17	0
