"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Igfbpl1",3.37274088979105e-35,0.653580739369879,1,0.924,9.44299994323698e-31,"1","Igfbpl1"
"Itm2b",1.04772672251327e-30,0.603822995563629,0.966,0.789,2.93342527769264e-26,"1","Itm2b"
"Ttc281",4.22661789633487e-30,0.743593546239108,0.906,0.624,1.18336847861584e-25,"1","Ttc28"
"Gria21",5.41932214289616e-30,0.766667796881294,0.953,0.708,1.51730181356807e-25,"1","Gria2"
"Meis2",5.96227984033664e-29,0.684083748571245,0.966,0.722,1.66931910969745e-24,"1","Meis2"
"Nr2f1",3.26591450470555e-28,0.911332556797423,0.839,0.519,9.14390743027459e-24,"1","Nr2f1"
"Neurod1",6.66615531195268e-27,0.615182694886889,0.611,0.21,1.86639016424051e-22,"1","Neurod1"
"Sstr2",1.66617428773111e-26,0.550943380484047,0.483,0.129,4.66495477078956e-22,"1","Sstr2"
"Pou3f2",1.87452991690075e-26,0.758387424503886,0.879,0.562,5.24830886133872e-22,"1","Pou3f2"
"Frmd4b",1.98266368091783e-26,0.682352556221727,0.705,0.34,5.55106177383375e-22,"1","Frmd4b"
"Lmo1",5.18365378746475e-26,0.699943597497276,0.772,0.387,1.45131938741438e-21,"1","Lmo1"
"2600014E21Rik",8.67047833145116e-25,0.421721663047786,0.349,0.072,2.4275605232397e-20,"1","2600014E21Rik"
"Nfib",4.53426837504386e-24,0.598977519969439,0.953,0.833,1.26950445964478e-19,"1","Nfib"
"Cd24a",1.6409551295543e-23,0.404107156776564,0.993,0.975,4.59434617172612e-19,"1","Cd24a"
"Sema3c",4.66272103610688e-23,0.524129117792406,0.503,0.169,1.30546863568921e-18,"1","Sema3c"
"Nrp1",7.81670034539633e-23,0.746762308244749,0.758,0.413,2.18851976270406e-18,"1","Nrp1"
"Cttnbp2",1.02356738671187e-22,0.667966917089029,0.779,0.501,2.86578396931588e-18,"1","Cttnbp2"
"Tsc22d1",1.68427776046452e-21,0.63900099488891,0.96,0.884,4.71564087374858e-17,"1","Tsc22d1"
"Neurod61",4.46662410463563e-21,0.536881897454661,0.973,0.543,1.25056541681588e-16,"1","Neurod6"
"Wnt7b",6.37850288039223e-21,0.709364254094343,0.463,0.166,1.78585323645222e-16,"1","Wnt7b"
"Igsf3",2.63639689794608e-20,0.578739274791873,0.745,0.423,7.38138403486945e-16,"1","Igsf3"
"Mllt3",2.67227360478412e-20,0.562865698055673,0.826,0.569,7.48183163867457e-16,"1","Mllt3"
"Unc5d",3.01230903990509e-20,0.456089308724094,0.362,0.097,8.43386284992628e-16,"1","Unc5d"
"Kcnq3",5.8817060824964e-20,0.456653862266899,0.416,0.138,1.64676006897734e-15,"1","Kcnq3"
"Ppp2r2b",1.42174853494771e-19,0.564962715769194,0.819,0.519,3.98061154814659e-15,"1","Ppp2r2b"
"Frmd4a1",2.87499534157328e-19,0.511179683617098,0.819,0.496,8.04941195733687e-15,"1","Frmd4a"
"Sox4",7.68386374531068e-19,0.426859836641402,1,0.972,2.15132817141208e-14,"1","Sox4"
"Zbtb181",9.48214623321511e-18,0.513067289863424,0.846,0.525,2.65481130237557e-13,"1","Zbtb18"
"Pdzrn3",1.28621185122457e-17,0.382069104111285,0.275,0.064,3.60113594105855e-13,"1","Pdzrn3"
"Basp11",2.26828079634412e-17,0.384273204392996,0.98,0.926,6.35073257360427e-13,"1","Basp1"
"Prex1",4.51567645577997e-17,0.385408466613582,0.349,0.109,1.26429909408928e-12,"1","Prex1"
"Tbr1",4.7989255751296e-17,0.666288366227762,0.497,0.225,1.34360318252478e-12,"1","Tbr1"
"Epha5",4.823676227822e-17,0.572860858705864,0.899,0.703,1.3505328702656e-12,"1","Epha5"
"Pantr1",1.78219854798325e-16,0.504010944735064,0.953,0.857,4.9897994946435e-12,"1","Pantr1"
"Enc11",1.94472714709105e-16,0.542947589685903,0.698,0.405,5.44484706642552e-12,"1","Enc1"
