"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pmp22",1.12545516472498e-55,0.541551736190915,0.457,0.026,3.151049370197e-51,"radial glia","Pmp22"
"Psat1",1.34169964484626e-55,1.17244314836825,0.8,0.133,3.75649066564056e-51,"radial glia","Psat1"
"E130114P18Rik",6.5011421840989e-55,0.798598974327157,0.686,0.078,1.82018978870401e-50,"radial glia","E130114P18Rik"
"Mfsd2a",7.15321601153693e-55,0.423741594102291,0.457,0.027,2.00275741891011e-50,"radial glia","Mfsd2a"
"Egln3",8.72811805595818e-55,0.44047660513414,0.457,0.027,2.44369849330717e-50,"radial glia","Egln3"
"Tmem100",9.43815509974298e-55,0.330566511687687,0.243,0.001,2.64249466482604e-50,"radial glia","Tmem100"
"Mt2",1.36263516126399e-54,1.63911738642127,0.786,0.127,3.81510592450691e-50,"radial glia","Mt2"
"Rhoc",2.55432941969924e-53,0.621026771919106,0.643,0.068,7.15161150927392e-49,"radial glia","Rhoc"
"Fkbp9",2.74816505641233e-53,0.403229433919634,0.471,0.029,7.69431252494323e-49,"radial glia","Fkbp9"
"Hadh",2.64509937588077e-52,0.583365262422778,0.614,0.064,7.40574923259097e-48,"radial glia","Hadh"
"Cyba",4.57010880725177e-52,0.425842903249428,0.429,0.024,1.27953906385435e-47,"radial glia","Cyba"
"Mt3",1.31232836043241e-51,3.02097365682757,0.957,0.333,3.67425694353866e-47,"radial glia","Mt3"
"Ifitm3",1.41421061732624e-51,0.589989581897149,0.243,0.002,3.95950688639001e-47,"radial glia","Ifitm3"
"Vim",1.49671266198073e-50,2.27585032797562,1,0.413,4.19049611101364e-46,"radial glia","Vim"
"Afap1l2",2.59886742292479e-50,0.275623722437498,0.271,0.005,7.27630901070482e-46,"radial glia","Afap1l2"
"Rfx4",2.53163241474289e-49,0.359032295500616,0.357,0.015,7.08806443479714e-45,"radial glia","Rfx4"
"Smpdl3a",4.80002085915593e-49,0.531957858140662,0.529,0.047,1.34390984014648e-44,"radial glia","Smpdl3a"
"Asrgl1",1.01263329761494e-48,0.96454392266056,0.814,0.154,2.83517070666231e-44,"radial glia","Asrgl1"
"Id3",5.60856461360786e-48,1.26793507683777,0.7,0.101,1.57028592051793e-43,"radial glia","Id3"
"Emid1",6.62124741839918e-48,0.551339357207916,0.5,0.042,1.8538168522034e-43,"radial glia","Emid1"
"Nrarp",2.2246362213051e-47,0.519104370308073,0.6,0.067,6.22853649241001e-43,"radial glia","Nrarp"
"Gm11627",8.49174224219091e-47,0.338520600891346,0.329,0.013,2.37751799296861e-42,"radial glia","Gm11627"
"Sdc2",1.28319334466346e-46,0.344712540508856,0.357,0.017,3.59268472638874e-42,"radial glia","Sdc2"
"Msn",1.88848566870037e-46,0.419364089085618,0.557,0.055,5.28738217522729e-42,"radial glia","Msn"
"Apoe",2.15922391063908e-46,2.08850962990201,0.829,0.186,6.0453951050073e-42,"radial glia","Apoe"
"Acot1",6.50423990802142e-46,1.216157246603,0.886,0.226,1.82105708944784e-41,"radial glia","Acot1"
"Pxdc1",7.47028587847191e-46,0.279951052729126,0.343,0.015,2.09153064025456e-41,"radial glia","Pxdc1"
"Tst",7.33855756965475e-45,0.918977445849162,0.729,0.127,2.05464934835194e-40,"radial glia","Tst"
"Gas1",9.01251642616996e-45,0.891906435332164,0.757,0.128,2.52332434899907e-40,"radial glia","Gas1"
"Notch1",2.59306597763915e-44,0.635523174178854,0.657,0.094,7.26006612419408e-40,"radial glia","Notch1"
"Sox3",1.04906727583276e-43,0.259089693201246,0.314,0.013,2.93717855887655e-39,"radial glia","Sox3"
"Sall3",1.4498020462673e-43,0.421184078206106,0.457,0.038,4.0591557691392e-39,"radial glia","Sall3"
"Dbi",1.7337625363139e-43,2.79967819676057,1,0.737,4.85418834917166e-39,"radial glia","Dbi"
"S100a13",1.9834544502222e-43,0.431907339214904,0.371,0.023,5.55327576973211e-39,"radial glia","S100a13"
