"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","contrast","geneId","transcriptId"
"Myl6..ENSMUST00000164181.12",2.28099004476013e-08,-0.469904895372421,0.586,0.878,0.000718876822506603,"mature Glutamatergic","intermediate progenitor vs mature Glutamatergic","Myl6","ENSMUST00000164181.1"
"Clta..ENSMUST00000107849.98",1.14183695727882e-12,-0.650741441769317,0.54,0.86,3.59861335455993e-08,"mature Glutamatergic","intermediate progenitor vs mature Glutamatergic","Clta","ENSMUST00000107849.9"
"Clta..ENSMUST00000170241.78",2.34655917492356e-11,0.904644343479504,0.701,0.478,7.39541589568909e-07,"intermediate progenitor","intermediate progenitor vs mature Glutamatergic","Clta","ENSMUST00000170241.7"
"Myl6..ENSMUST00000218127.13",2.03857693634853e-16,0.969539960184081,0.667,0.145,6.42477907259601e-12,"intermediate progenitor","intermediate progenitor vs mature GABAergic","Myl6","ENSMUST00000218127.1"
"Myl6..ENSMUST00000164181.13",5.7451985744012e-07,-0.555816098830918,0.586,0.792,0.0181065678270828,"mature GABAergic","intermediate progenitor vs mature GABAergic","Myl6","ENSMUST00000164181.1"
"Clta..ENSMUST00000107849.99",5.17597465316702e-10,-0.776448718725866,0.54,0.792,1.63126017169212e-05,"mature GABAergic","intermediate progenitor vs mature GABAergic","Clta","ENSMUST00000107849.9"
"Clta..ENSMUST00000170241.79",7.30926149727312e-09,0.740821848737865,0.701,0.312,0.00023035868534806,"intermediate progenitor","intermediate progenitor vs mature GABAergic","Clta","ENSMUST00000170241.7"
"Clta..ENSMUST00000107849.910",3.63171912688416e-12,0.504258080821195,0.86,0.507,1.14457260002881e-07,"mature Glutamatergic","mature Glutamatergic vs imature GABAergic","Clta","ENSMUST00000107849.9"
"Clta..ENSMUST00000170241.710",2.98888876668736e-08,-0.695940960124315,0.478,0.59,0.000941978183709189,"imature GABAergic","mature Glutamatergic vs imature GABAergic","Clta","ENSMUST00000170241.7"
"Clta..ENSMUST00000107849.911",7.32465906199564e-10,-0.629965357777744,0.507,0.792,2.30843954997855e-05,"mature GABAergic","imature GABAergic vs mature GABAergic","Clta","ENSMUST00000107849.9"
"Clta..ENSMUST00000170241.711",1.44772976155561e-06,0.532118465382676,0.59,0.312,0.0456266511651867,"imature GABAergic","imature GABAergic vs mature GABAergic","Clta","ENSMUST00000170241.7"
