geneId	nbUmis	nbIsoformSet	nbIsoformNotSet
Irak1bp1	485	433	52
Appbp2os	23	2	21
Lrrd1	1	0	1
Zfp335os	173	26	147
Nup93	140	75	65
AC123798.1	6	6	0
Lmbr1	86	27	59
Gm20721	1	0	1
Ep300	188	0	188
Gemin6	139	80	59
Gemin7	352	307	45
AC111124.2	3	0	3
RP23-174K7.2	17	17	0
Nup98	63	25	38
Gemin4	9	0	9
Afp	1	0	1
Rrp36	67	22	45
Gemin5	44	0	44
Gemin8	116	76	40
Tbccd1	39	13	26
RP24-75H6.1	10	10	0
Nfib	6267	1231	5036
Nfia	993	9	984
Acvrl1	3	1	2
RP23-252G18.2	41	41	0
Nfic	222	43	179
Lrrc3	37	4	33
Rrp1b	187	7	180
Lrrc4	50	0	50
Zim1	1	0	1
Fosb	145	6	139
Aga	41	34	7
RP23-172P1.4	1	1	0
Lrrc6	19	1	18
RP23-172P1.1	7	7	0
Lrrc1	22	6	16
Zim3	15	0	15
RP23-138E16.2	3	3	0
Ankrd9	27	19	8
Agk	172	14	158
Mcf2	4	0	4
Agl	101	6	95
Elp2	351	97	254
Ankrd2	1	0	1
Scand1	1681	791	890
Elp4	138	99	39
Elp3	334	212	122
Pdzrn4	156	47	109
Elp6	225	132	93
RP23-393F10.3	3	0	3
Ankrd6	118	13	105
Elp5	459	74	385
RP23-393F10.2	21	13	8
Pdzrn3	96	9	87
Agt	1	0	1
Mcee	199	166	33
RP24-210F23.8	18	0	18
RP24-210F23.7	3	0	3
Gemin2	104	68	36
RP24-210F23.6	10	10	0
Plp2	160	136	24
Eloa	156	34	122
Eloc	1777	1579	198
Plp1	41	4	37
Elob	5757	3702	2055
RP23-2F1.2	7	0	7
RP23-258N2.3	3	3	0
Atxn3	72	40	32
Atxn1	98	1	97
Atxn2	292	12	280
Ripply2	21	13	8
Atxn7	94	1	93
Ripply3	1	0	1
Rimbp2	4	0	4
RP24-535N4.2	97	4	93
Rimbp3	8	8	0
Ahr	48	0	48
RP23-428P5.10	2	2	0
Hist1h3d	194	194	0
Fam58b	256	256	0
Hist1h3e	46	46	0
Hist1h3b	24	24	0
Hist1h3c	35	35	0
Hist1h3h	33	33	0
RP23-355K21.4	8	8	0
RP23-26J4.3	2	2	0
Hist1h3i	28	28	0
RP23-355K21.3	7	7	0
Hist1h3f	75	75	0
RP23-355K21.2	47	47	0
Hist1h3g	15	15	0
Pls3	92	8	84
Oip5	28	21	7
Pls1	6	1	5
Hist1h3a	26	26	0
RP23-103C13.1	2	0	2
Nfix	5673	378	5295
RP23-242C11.1	7	7	0
Mtrf1	54	38	16
Ak1	273	204	69
RP23-464E7.4	19	0	19
Cfl1	9585	8699	886
Dio2	7	1	6
Ak3	184	115	69
Cfl2	1871	1332	539
Dio3	3	0	3
Ak2	594	442	152
Aip	370	294	76
Ak5	5	1	4
Ak4	49	1	48
Ak7	1	0	1
Ak6	42	0	42
Ak9	3	0	3
Ak8	3	0	3
AC127266.4	24	24	0
Fam57a	45	14	31
Fam57b	990	713	277
RP24-535K22.2	3	3	0
RP24-177N8.2	1	1	0
Thg1l	11	5	6
RP24-234J3.2	36	0	36
RP24-234J3.3	13	0	13
Porcn	140	43	97
Cnot11	150	74	76
Eif4ebp2	228	13	215
Eif4ebp1	74	73	1
Hist1h1b	276	276	0
Hist1h1c	1016	1016	0
RP23-383P18.3	3	0	3
Hist1h1a	76	76	0
Hist1h1d	101	101	0
Hist1h1e	858	858	0
RP24-238C11.4	3	3	0
Angel2	520	126	394
Cnot10	175	56	119
Angel1	9	0	9
Vsig10	11	3	8
RP23-359K17.2	56	56	0
Mcl1	298	117	181
RP24-238C11.5	1	1	0
Bcl9	459	99	360
Bcl6	6	0	6
AC154885.2	1	0	1
Bcl3	1	0	1
Bcl2	213	3	210
9330136K24Rik	1	0	1
RP23-448H3.2	28	28	0
Tsen2	279	92	187
Pdlim3	20	11	9
Pdlim2	23	3	20
Alk	6	0	6
Pdlim1	42	37	5
RP23-266O23.4	3	0	3
Vps72	1330	982	348
Mcm7	612	326	286
Mcm8	94	19	75
Mcm9	13	0	13
Tnks1bp1	45	0	45
Birc2	303	38	265
RP24-159L15.2	6	0	6
Pcdhac1	6	0	6
Pdlim7	612	416	196
Pcdhac2	2	0	2
Birc6	996	6	990
Pdlim5	26	3	23
Birc5	467	366	101
Pdlim4	392	330	62
RP23-127B8.7	46	4	42
RP23-127B8.5	326	72	254
RP23-50F14.2	2	0	2
Nfkbil1	165	131	34
AC171273.3	5	3	2
Amh	1	0	1
RP24-109N11.4	80	33	47
Amn	22	1	21
Rrp7a	465	369	96
Gm6970	1	1	0
RP23-140G16.2	11	7	4
Dis3	134	8	126
AC113271.1	4	0	4
RP23-140G16.1	140	67	73
Them4	291	181	110
Them5	3	3	0
Amt	5	0	5
Them6	7	4	3
RP23-340A17.1	1	1	0
Them7	1	0	1
Fam53a	191	122	69
Fam53b	223	71	152
Fam53c	102	4	98
Osbp2	27	5	22
Vps4a	607	310	297
Vps4b	210	51	159
Mcm3	236	114	122
Mcm4	125	48	77
Mcm5	249	169	80
